id	filename	md5	size	state
52d2e6bb-80f3-42a7-b2d4-cc72e5fd83f1	657e19a6-e481-4d06-8613-1a93677f3425.htseq.counts.gz	b165dcb355976a361d16fd3a98e39783	254576	validated
55308ae6-e8be-4e87-ae00-0f1f77346326	50e50114-97c0-46a6-ac5a-8c5c32abd6b2.htseq.counts.gz	ae311384292a664972776a78dd42a6bf	251939	validated
555d3c92-ef5b-4a92-be94-7e4e5c000dea	65f1f44c-1f60-45cd-8e1d-16304536c4d5.htseq.counts.gz	f1d16153fa63dd6e59f5d21bbb9e29a2	252280	validated
5627977f-8abf-47b6-b95b-82b93da47583	cbab599f-5cad-4d5a-94fd-9598219daade.htseq.counts.gz	b2fbb8db16a180704e01b165312d64d3	250617	validated
5629a2d8-0f4c-45f4-8f10-0611bf3260ae	bdaa2f92-f32d-4740-bfbc-e02e32228732.htseq.counts.gz	f4868ac603ca314dc21b971c2713b4a6	251812	validated
5b296040-9f5b-4ed4-91f5-1945886f590f	08b04038-cfb4-4a4c-9e20-1585a4af6826.htseq.counts.gz	ad329a7b800b929d89e6e0ee4bbb6c78	251327	validated
5bdbcc11-d445-4821-9ada-6e6261cb0a66	e75c2077-0098-42b5-ba41-181a768478de.htseq.counts.gz	0bee342950ec472f58a8d0f196061a83	252147	validated
60b36f81-721a-4a61-90f7-cb0d54959167	3828d55b-81ae-42b2-8f5e-d1dcd87e576a.htseq.counts.gz	c7b78dfea109f080d3c30e4692377779	256730	validated
60b68cc6-a7d8-4134-aad1-06acd5633f47	3f2cc0e5-5c45-4b32-bed1-8d549bb167eb.htseq.counts.gz	710516a855230b0364289844e3147bd3	252699	validated
611b798f-8d35-4c9b-b899-c215aa1450f1	4929062b-3127-4038-8313-c20cbd274be4.htseq.counts.gz	5a4d38b2b69088c9c0d98a0d90579ccc	259734	validated
61931736-7e96-4716-8a09-d02c01f6ecce	a0f5f7d4-88e0-4f3b-853b-e1e4f6bca748.htseq.counts.gz	43a2555ad0b5dd05cd50805531365225	250772	validated
62bcd8f5-1038-4bef-8c50-e0acec8c8eb8	97cc2d08-c822-4cc5-aafc-d2c1fc1c9b57.htseq.counts.gz	b987006461094cfac728ea69985e58bf	251941	validated
63de8e0a-fee0-489c-9beb-0ef6f87242fa	87f95771-f0b0-476a-a84e-fb1cd403b7fe.htseq.counts.gz	65a436cb56e782bac0f3253d7e02b973	250890	validated
6417fd7d-530d-49bd-90d0-7000cb6f8af8	6cfd5f67-1006-48e5-a406-63b7d7ed9828.htseq.counts.gz	083f87f1f6b3a3d2379975cac5f35009	252920	validated
64920849-76ad-48c8-89ca-6e2c30c49ff0	1b54f883-d25d-4f6c-9398-7d7dcfb75653.htseq.counts.gz	5e1ffd1815063f9d13671ee7bd093ecb	245479	validated
